course,semester,year,A,B,C,D,F,W,GPA
CS 4660,Fall,2008,46,43,8,0,0,3,3.39
CS 4660,Fall,2009,77,15,0,0,0,8,3.83
CS 4660,Fall,2012,71,21,6,0,0,0,3.66
CS 4660,Spring,2010,67,26,3,0,3,3,3.58
CS 4660,Spring,2011,67,21,13,0,0,0,3.54
CS 4660,Spring,2012,67,17,14,0,0,2,3.54
CS 4660,Spring,2013,73,18,0,9,0,0,3.55
CS 4140,Fall,2009,44,11,11,0,11,22,3
CS 4140,Fall,2010,31,25,6,0,19,19,2.62
CS 4140,Fall,2011,46,31,0,0,15,8,3
CS 4140,Fall,2012,8,15,8,15,8,38,2
CS 4804,Spring,2012,100,0,0,0,0,0,4
CS 4801,Fall,2009,97.5,0,0,0,0,2.5,4
CS 4801,Fall,2010,63.75,0,25,0,6.25,5,3.25
CS 4801,Spring,2010,80.66666667,16.66666667,0,0,0,2.666666667,3.833333333
CS 4801,Spring,2011,74,23.6,0,0,0,2.6,3.762
CS 4801,Spring,2012,84,0,0,0,0,2,4
CS 4803,Fall,2008,64.9,17.1,4.7,1.7,0.3,3.9,3.566
CS 4803,Fall,2009,87,11.5,1.5,0,0,0,3.855
CS 4803,Fall,2010,43.28571429,37.71428571,15,0,3.857142857,0,3.164285714
CS 4803,Fall,2011,72.5,27.5,0,0,0,0,3.725
CS 4803,Fall,2012,66.75,11.75,3.5,0,3.5,7.25,3.5675
CS 4803,Spring,2008,54.83333333,14.83333333,8,0,0,14.83333333,3.58
CS 4803,Spring,2009,66.5,16.83333333,5.333333333,0,0,8.833333333,3.67
CS 4803,Spring,2010,79,7.571428571,2.571428571,1,0,3.428571429,3.768571429
CS 4803,Spring,2011,59.2,10.8,0.8,13.4,6.6,4.2,3.188
CS 4803,Spring,2012,89,5.5,0,0,0,5.5,3.94
CS 4803,Spring,2013,54,3.333333333,0,0,3.333333333,14.16666667,3.721666667
CS 4803,Summer,2008,89,5,5,0,0,0,3.84
CS 4803,Summer,2010,100,0,0,0,0,0,4
CS 4803,Summer,2012,100,0,0,0,0,0,4
CS 4802,Fall,2009,100,0,0,0,0,0,4
CS 4802,Fall,2010,100,0,0,0,0,0,4
CS 4802,Spring,2010,100,0,0,0,0,0,4
CS 4802,Spring,2011,50,50,0,0,0,0,3.5
CS 1371,Fall,2008,32.38636364,26.15909091,15.56818182,9.159090909,7.75,9.113636364,2.742727273
CS 1371,Fall,2009,32.60869565,26.13043478,17.23913043,7.304347826,6.847826087,9.97826087,2.785217391
CS 1371,Fall,2010,35.84,24.86,13.36,8.3,9.6,8.04,2.7506
