Course,Year,GPA
CS 4660,2000.0,3.525
CS 4660,2001.0,3.34
CS 4660,2002.0,3.63
CS 4660,2003.0,3.16
CS 4660,2004.0,3.68
CS 4660,2005.0,3.17
CS 4660,2006.0,3.54
CS 4660,2007.0,2.81
CS 4660,2008.0,3.39
CS 4660,2009.0,3.83
CS 4660,2010.0,3.58
CS 4660,2011.0,3.54
CS 4660,2012.0,3.6
CS 4660,2013.0,3.55
CS 8902,1999.0,3.5833333333333335
CS 8902,2000.0,3.857142857142857
CS 8902,2001.0,3.9318181818181817
CS 8902,2002.0,3.9
CS 8902,2003.0,3.8925423728813557
CS 8902,2004.0,3.8571875000000007
CS 8902,2005.0,3.912027027027027
CS 8902,2006.0,3.9403225806451614
CS 8902,2007.0,3.8954807692307694
CS 8902,2008.0,3.8647244094488187
CS 8902,2009.0,3.8894897959183674
CS 8902,2010.0,3.888
CS 8902,2011.0,3.9063492063492067
CS 8902,2012.0,3.769230769230769
CS 7450,1999.0,3.67
CS 7450,2000.0,3.38
CS 7450,2002.0,3.68
CS 7450,2003.0,3.4
CS 7450,2004.0,3.61
CS 7450,2005.0,3.25
CS 7450,2006.0,3.75
CS 7450,2008.0,3.5966666666666662
CS 7450,2009.0,3.45
CS 7450,2010.0,3.365
CS 7450,2011.0,3.37
CS 7450,2012.0,3.57
CS 4665,2002.0,3.6
CS 7455,2006.0,4.0
CS 7455,2007.0,4.0
CS 7455,2008.0,4.0
CS 7455,2009.0,3.9
CS 7455,2010.0,3.83
CS 7455,2011.0,4.0
CS 7455,2012.0,4.0
CS 7455,2013.0,3.6
CS 4140,2009.0,3.0
CS 4140,2010.0,2.62
CS 4140,2011.0,3.0
CS 4140,2012.0,2.0
CS 7497,2000.0,3.9
CS 7497,2002.0,3.13
CS 7497,2008.0,4.0
CS 7497,2013.0,3.86
CS 7210,2000.0,3.8
CS 7210,2002.0,3.67
CS 7210,2003.0,3.76
CS 7210,2004.0,3.6
CS 7210,2006.0,3.56
CS 7210,2007.0,3.67
CS 7210,2008.0,3.33
CS 7210,2009.0,3.64
CS 7210,2011.0,3.465
CS 7210,2013.0,3.6
CSE 6001,2008.0,4.0
CSE 6001,2009.0,4.0
CSE 6001,2010.0,4.0
CSE 6001,2011.0,4.0
CSE 6001,2012.0,4.0
CS 6465,2010.0,3.74
CS 6465,2012.0,3.88
CS 4804,1999.0,3.8
CS 4804,2012.0,4.0
CS 7510,2000.0,4.0
CS 7510,2004.0,3.61
CS 7510,2009.0,3.75
CS 4801,2000.0,3.8033333333333332
CS 4801,2001.0,3.8880000000000003
CS 4801,2002.0,3.9299999999999997
CS 4801,2003.0,3.95
CS 4801,2009.0,4.0
CS 4801,2010.0,3.5
CS 4801,2011.0,3.7619999999999996
CS 4801,2012.0,4.0
CS 6460,1999.0,3.56
CS 6460,2000.0,3.8
CS 6460,2001.0,3.82
CS 6460,2002.0,3.6
CS 6460,2003.0,3.93
CS 6460,2004.0,3.47
CS 6460,2005.0,4.0
CS 6460,2007.0,3.52
CS 6460,2008.0,3.53
CS 6460,2009.0,3.875
CS 6460,2012.0,4.0
CS 6460,2013.0,3.92
CS 4803,1999.0,2.8666666666666667
CS 4803,2000.0,3.4539999999999997
CS 4803,2001.0,3.7399999999999998
CS 4803,2002.0,3.6700000000000004
CS 4803,2003.0,3.5675
