Course,Year,GPA
CS 4660,2008,3.39
CS 4660,2009,3.83
CS 4660,2010,3.58
CS 4660,2011,3.54
CS 4660,2012,3.6
CS 4660,2013,3.55
CS 4140,2009,3.0
CS 4140,2010,2.62
CS 4140,2011,3.0
CS 4140,2012,2.0
CS 4804,2012,4.0
CS 4801,2009,4.0
CS 4801,2010,3.5
CS 4801,2011,3.7619999999999996
CS 4801,2012,4.0
CS 4803,2008,3.587058823529411
CS 4803,2009,3.7440000000000007
CS 4803,2010,3.502
CS 4803,2011,3.4266666666666663
CS 4803,2012,3.7357142857142853
CS 4803,2013,3.7216666666666662
CS 4802,2009,4.0
CS 4802,2010,4.0
CS 4802,2011,3.5
CS 1371,2008,2.6667391304347827
CS 1371,2009,2.6096938775510203
CS 1371,2010,2.6453333333333338
CS 1371,2011,2.705047619047619
CS 1371,2012,2.9138596491228075
CS 1371,2013,2.811999999999999
CS 1372,2008,2.625294117647059
CS 1372,2009,2.394
CS 1372,2010,2.3771428571428572
CS 1372,2011,2.6325000000000007
CS 1372,2012,2.9000000000000004
CS 1372,2013,3.33
CS 4793,2008,3.31
CS 4793,2010,3.09
CS 4793,2012,3.06
CS 4240,2008,3.05
CS 4240,2009,3.41
CS 4710,2008,3.75
CS 4710,2009,3.0
CS 4710,2010,3.91
CS 4710,2011,3.55
CS 4710,2012,4.0
CS 4245,2009,3.42
CS 4245,2010,3.26
CS 4001,2008,3.2380000000000004
CS 4001,2009,3.4933333333333327
CS 4001,2010,3.5425
CS 4001,2011,3.5381818181818185
CS 4001,2012,3.6136363636363638
CS 4001,2013,3.5383333333333327
CS 4002,2008,3.37
CS 4002,2010,3.58
CS 4002,2011,3.53
CS 4002,2013,3.07
CS 4777,2008,2.5
CS 4777,2009,4.0
CS 4777,2010,2.75
CS 4777,2012,4.0
CS 4770,2009,3.56
CS 4770,2011,3.4
CS 4770,2012,2.75
CS 4770,2013,4.0
CS 4635,2008,3.43
CS 4635,2009,3.22
CS 4635,2010,3.54
CS 4635,2011,3.0
CS 4635,2012,3.32
CS 2316,2011,2.9216666666666664
