courseID,profID,courseID.1,Course,Section,Year,Prof,A,B,C,D,F,W,Size,Level,GPA,Y,AverageGPA,Semester
CS4660,KOLODNERJANETL,CS4660,CS 4660,A,2008,"Kolodner, Janet L",46,43,8,0,0,3,Large (31-49 Students),Undergraduate,3.39,2008,3.39,Fall
CS4660,GUZDIALMARK,CS4660,CS 4660,A,2009,"Guzdial, Mark",77,15,0,0,0,8,Small (10-20 Students),Undergraduate,3.83,2009,3.83,Fall
CS4660,GUZDIALMARK,CS4660,CS 4660,A,2010,"Guzdial, Mark",67,26,3,0,3,3,Large (31-49 Students),Undergraduate,3.58,2010,3.58,Spring
CS4660,DISALVOELIZABETHNORA,CS4660,CS 4660,A,2011,"Disalvo, Elizabeth Nora",67,21,13,0,0,0,Large (31-49 Students),Undergraduate,3.54,2011,3.54,Spring
CS4660,GUZDIALMARK,CS4660,CS 4660,A,2012,"Guzdial, Mark",67,17,14,0,0,2,Large (31-49 Students),Undergraduate,3.54,2012,3.6,Spring
CS4660,DISALVOELIZABETHNORA,CS4660,CS 4660,A,2012,"Disalvo, Elizabeth Nora",71,21,6,0,0,0,Large (31-49 Students),Undergraduate,3.66,2012,3.6,Fall
CS4660,DISALVOELIZABETHNORA,CS4660,CS 4660,A,2013,"Disalvo, Elizabeth Nora",73,18,0,9,0,0,Small (10-20 students),Undergraduate,3.55,2013,3.55,Spring
CS4140,BADERDAVIDALBERT,CS4140,CS 4140,A,2009,"Bader, David Albert",44,11,11,0,11,22,Very Small (Fewer than 10 Students),Undergraduate,3.0,2009,3.0,Fall
CS4140,BADERDAVIDALBERT,CS4140,CS 4140,A,2010,"Bader, David Albert",31,25,6,0,19,19,Small (10-20 Students),Undergraduate,2.62,2010,2.62,Fall
CS4140,BADERDAVIDALBERT,CS4140,CS 4140,B,2011,"Bader, David Albert",46,31,0,0,15,8,Small (10-20 Students),Undergraduate,3.0,2011,3.0,Fall
CS4140,APOSTOLICOALBERTO,CS4140,CS 4140,B,2012,"Apostolico, Alberto",8,15,8,15,8,38,Small (10-20 Students),Undergraduate,2.0,2012,2.0,Fall
CS4804,FANTAUZZAJILLM,CS4804,CS 4804,A,2012,"Fantauzza, Jill M",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2012,4.0,Spring
CS4801,HUNTERMICHAELT,CS4801,CS 4801,VP2,2009,"Hunter, Michael T",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2009,4.0,Fall
CS4801,MACINTYREBLAIR,CS4801,CS 4801,GPL,2009,"MacIntyre, Blair",95,0,0,0,0,5,Mid-Size (21-30 Students),Undergraduate,4.0,2009,4.0,Fall
CS4801,COYLEEDWARDJ,CS4801,CS 4801,VP5,2010,"Coyle, Edward J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.5,Spring
CS4801,COYLEEDWARDJ,CS4801,CS 4801,VP1,2010,"Coyle, Edward J",50,50,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.5,2010,3.5,Spring
CS4801,MACINTYREBLAIR,CS4801,CS 4801,GPL,2010,"MacIntyre, Blair",92,0,0,0,0,8,Small (10-20 Students),Undergraduate,4.0,2010,3.5,Spring
CS4801,MCCLELLANJAMESH,CS4801,CS 4801,VP4,2010,"McClellan, James H",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.5,Fall
CS4801,CLARKRUSSELLJ,CS4801,CS 4801,VP7,2010,"Clark, Russell J",0,0,100,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,2.0,2010,3.5,Fall
CS4801,COYLEEDWARDJ,CS4801,CS 4801,VP3,2010,"Coyle, Edward J",75,0,0,0,25,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.5,Fall
CS4801,MACINTYREBLAIR,CS4801,CS 4801,GPL,2010,"MacIntyre, Blair",80,0,0,0,0,20,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.5,Fall
CS4801,COYLEEDWARDJ,CS4801,CS 4801,VP3,2011,"Coyle, Edward J",0,100,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2011,3.7619999999999996,Spring
CS4801,MCCLELLANJAMESH,CS4801,CS 4801,VP4,2011,"McClellan, James H",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2011,3.7619999999999996,Spring
CS4801,COYLEEDWARDJ,CS4801,CS 4801,VP5,2011,"Coyle, Edward J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2011,3.7619999999999996,Spring
CS4801,MACINTYREBLAIR,CS4801,CS 4801,GPL,2011,"MacIntyre, Blair",75,13,0,0,0,13,Very Small (Fewer than 10 Students),Undergraduate,3.86,2011,3.7619999999999996,Spring
CS4801,COLLUMSELIZABETHENGLISH,CS4801,CS 4801,UES,2011,"Collums, Elizabeth English",95,5,0,0,0,0,Small (10-20 Students),Undergraduate,3.95,2011,3.7619999999999996,Spring
CS4801,STASKOJOHNT,CS4801,CS 4801,SA,2012,"Stasko, John T",84,0,0,0,0,2,Large (31-49 Students),Undergraduate,4.0,2012,4.0,Spring
CS4803,BESTMICHAELL,CS4803,CS 4803,MB,2008,"Best, Michael L",0,50,0,0,0,50,Very Small (Fewer than 10 Students),Undergraduate,3.0,2008,3.587058823529411,Spring
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,IMS,2008,"Clark, Russell J",67,0,33,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.33,2008,3.587058823529411,Spring
CS4803,MCLEANANGUSL,CS4803,CS 4803,MG,2008,"McLean, Angus L",86,0,0,0,0,14,Very Small (Fewer than 10 Students),Undergraduate,4.0,2008,3.587058823529411,Spring
CS4803,ESSAIRFANA,CS4803,CS 4803,CJ,2008,"Essa, Irfan A",63,0,0,0,0,13,Very Small (Fewer than 10 Students),Undergraduate,4.0,2008,3.587058823529411,Spring
CS4803,FURSTMERRICKL,CS4803,CS 4803,CSV,2008,"Furst, Merrick L",86,0,0,0,0,0,Small (10-20 Students),Undergraduate,4.0,2008,3.587058823529411,Spring
CS4803,BRUCKMANAMYS,CS4803,CS 4803,DOC,2008,"Bruckman, Amy S",27,39,15,0,0,12,Large (31-49 Students),Undergraduate,3.15,2008,3.587058823529411,Spring
CS4803,FURSTMERRICKL,CS4803,CS 4803,RBA,2008,"Furst, Merrick L",89,5,5,0,0,0,Large (31-49 Students),Undergraduate,3.84,2008,3.587058823529411,Summer
CS4803,HUNTERMICHAELT,CS4803,CS 4803,EDM,2008,"Hunter, Michael T",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2008,3.587058823529411,Fall
CS4803,BRAUNSTEINMARKL,CS4803,CS 4803,IHI,2008,"Braunstein, Mark L",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2008,3.587058823529411,Fall
CS4803,STILMANMICHAEL,CS4803,CS 4803,RIP,2008,"Stilman, Michael",0,33,0,0,0,33,Very Small (Fewer than 10 Students),Undergraduate,3.0,2008,3.587058823529411,Fall
CS4803,BADERDAVIDALBERT,CS4803,CS 4803,CMA,2008,"Bader, David Albert",80,20,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.8,2008,3.587058823529411,Fall
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2008,"MacIntyre, Blair",80,0,20,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.6,2008,3.587058823529411,Fall
CS4803,PARKHAESUN,CS4803,CS 4803,NUM,2008,"Park, Haesun",0,50,17,17,0,0,Very Small (Fewer than 10 Students),Undergraduate,2.4,2008,3.587058823529411,Fall
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,IMS,2008,"Clark, Russell J",58,33,0,0,0,0,Small (10-20 Students),Undergraduate,3.64,2008,3.587058823529411,Fall
CS4803,LANTERMANAAROND,CS4803,CS 4803,MPG,2008,"Lanterman, Aaron D",92,0,0,0,0,0,Small (10-20 Students),Undergraduate,4.0,2008,3.587058823529411,Fall
CS4803,MIHAILKALOMIRE-ELENI,CS4803,CS 4803,WEB,2008,"Mihail, Kalomire-Eleni",100,0,0,0,0,0,Small (10-20 Students),Undergraduate,4.0,2008,3.587058823529411,Fall
CS4803,NERSESSIANNANCYJ,CS4803,CS 4803,CC,2008,"Nersessian, Nancy J",39,35,10,0,3,6,Large (31-49 Students),Undergraduate,3.22,2008,3.587058823529411,Fall
CS4803,BESTMICHAELL,CS4803,CS 4803,CCI,2009,"Best, Michael L",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2009,3.7440000000000007,Spring
CS4803,STILMANMICHAEL,CS4803,CS 4803,BHR,2009,"Stilman, Michael",67,33,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.67,2009,3.7440000000000007,Spring
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,MAL,2009,"Clark, Russell J",50,0,25,0,0,25,Very Small (Fewer than 10 Students),Undergraduate,3.33,2009,3.7440000000000007,Spring
CS4803,BADREALBERTN,CS4803,CS 4803,RMZ,2009,"Badre, Albert N",75,25,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.75,2009,3.7440000000000007,Spring
CS4803,BORODOVSKYMARK,CS4803,CS 4803,BIO,2009,"Borodovsky, Mark",57,29,0,0,0,14,Very Small (Fewer than 10 Students),Undergraduate,3.67,2009,3.7440000000000007,Spring
CS4803,KIMHYESOON,CS4803,CS 4803,DGC,2009,"Kim, Hyesoon",50,14,7,0,0,14,Small (10-20 Students),Undergraduate,3.6,2009,3.7440000000000007,Spring
CS4803,GRINTERREBECCAELIZABETH,CS4803,CS 4803,R,2009,"Grinter, Rebecca Elizabeth",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2009,3.7440000000000007,Fall
CS4803,RAMASHWIN,CS4803,CS 4803,CBR,2009,"Ram, Ashwin",67,33,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.67,2009,3.7440000000000007,Fall
CS4803,STILMANMICHAEL,CS4803,CS 4803,RIP,2009,"Stilman, Michael",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2009,3.7440000000000007,Fall
CS4803,LANTERMANAAROND,CS4803,CS 4803,MPG,2009,"Lanterman, Aaron D",81,13,6,0,0,0,Small (10-20 Students),Undergraduate,3.75,2009,3.7440000000000007,Fall
CS4803,BORODOVSKYMARK,CS4803,CS 4803,BIO,2010,"Borodovsky, Mark",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,NOVICKDAVIDGRAHAM,CS4803,CS 4803,RMZ,2010,"Novick, David Graham",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2010,"MacIntyre, Blair",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,CLARKRUSSELLJ,CS4803,CS 4803,MAL,2010,"Clark, Russell J",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,LEAHYWILLIAM,CS4803,CS 4803,CI,2010,"Leahy, William",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Spring
CS4803,NERSESSIANNANCYJ,CS4803,CS 4803,CNC,2010,"Nersessian, Nancy J",29,29,14,7,0,0,Small (10-20 Students),Undergraduate,3.0,2010,3.502,Spring
CS4803,KIMHYESOON,CS4803,CS 4803,DGC,2010,"Kim, Hyesoon",24,24,4,0,0,24,Mid-Size (21-30 Students),Undergraduate,3.38,2010,3.502,Spring
CS4803,MACINTYREBLAIR,CS4803,CS 4803,HAR,2010,"MacIntyre, Blair",100,0,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,4.0,2010,3.502,Summer
CS4803,TRAYNORPATRICKGERARD,CS4803,CS 4803,CNS,2010,"Traynor, Patrick Gerard",0,0,100,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,2.0,2010,3.502,Fall
CS4803,STILMANMICHAEL,CS4803,CS 4803,RIP,2010,"Stilman, Michael",0,100,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
CS4803,BALCHTUCKERR,CS4803,CS 4803,FIN,2010,"Balch, Tucker R",0,100,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
CS4803,BESTMICHAELL,CS4803,CS 4803,CCI,2010,"Best, Michael L",83,17,0,0,0,0,Very Small (Fewer than 10 Students),Undergraduate,3.83,2010,3.502,Fall
CS4803,RIEDLMARKO,CS4803,CS 4803,AGA,2010,"Riedl, Mark O",67,11,0,0,22,0,Very Small (Fewer than 10 Students),Undergraduate,3.0,2010,3.502,Fall
