course,GPA,A,B,C,D,F,W,semester,year
CS 4660,3.39 ,46.00 ,43.00 ,8.00 ,0.00 ,0.00 ,3.00 ,Fall,2008
CS 4660,3.83 ,77.00 ,15.00 ,0.00 ,0.00 ,0.00 ,8.00 ,Fall,2009
CS 4660,3.66 ,71.00 ,21.00 ,6.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
CS 4660,3.58 ,67.00 ,26.00 ,3.00 ,0.00 ,3.00 ,3.00 ,Spring,2010
CS 4660,3.54 ,67.00 ,21.00 ,13.00 ,0.00 ,0.00 ,0.00 ,Spring,2011
CS 4660,3.54 ,67.00 ,17.00 ,14.00 ,0.00 ,0.00 ,2.00 ,Spring,2012
CS 4660,3.55 ,73.00 ,18.00 ,0.00 ,9.00 ,0.00 ,0.00 ,Spring,2013
PHYS 3021,3.10 ,46.00 ,14.00 ,23.00 ,3.00 ,3.00 ,11.00 ,Fall,2008
PHYS 3021,2.97 ,41.00 ,22.00 ,14.00 ,3.00 ,8.00 ,8.00 ,Fall,2009
PHYS 3021,2.35 ,19.00 ,24.00 ,15.00 ,15.00 ,10.00 ,15.00 ,Fall,2010
PHYS 3021,2.89 ,26.00 ,34.00 ,14.00 ,1.00 ,6.00 ,16.00 ,Fall,2011
PHYS 3021,2.84 ,29.00 ,27.00 ,13.00 ,9.00 ,4.00 ,11.00 ,Fall,2012
PTFE 4761,2.00 ,0.00 ,0.00 ,100.00 ,0.00 ,0.00 ,0.00 ,Fall,2010
PTFE 4761,3.29 ,57.00 ,29.00 ,0.00 ,14.00 ,0.00 ,0.00 ,Spring,2008
PTFE 4761,2.72 ,22.00 ,39.00 ,28.00 ,11.00 ,0.00 ,0.00 ,Spring,2009
PTFE 4761,3.00 ,38.00 ,35.00 ,19.00 ,4.00 ,4.00 ,0.00 ,Spring,2010
PTFE 4761,3.63 ,77.00 ,13.00 ,7.00 ,3.00 ,0.00 ,0.00 ,Spring,2011
PTFE 4761,3.05 ,36.00 ,32.00 ,32.00 ,0.00 ,0.00 ,0.00 ,Spring,2012
