Course,GPA,Year
CS 4660,3.39 ,2008
CS 4660,3.83 ,2009
CS 4660,3.58 ,2010
CS 4660,3.54 ,2011
CS 4660,3.60 ,2012
CS 4660,3.55 ,2013
PHYS 3021,3.10 ,2008
PHYS 3021,2.97 ,2009
PHYS 3021,2.35 ,2010
PHYS 3021,2.89 ,2011
PHYS 3021,2.84 ,2012
PTFE 4761,3.29 ,2008
PTFE 4761,2.72 ,2009
PTFE 4761,2.50 ,2010
PTFE 4761,3.63 ,2011
PTFE 4761,3.05 ,2012
PTFE 4761,3.26 ,2013
BMED 2300,3.17 ,2008
BMED 2300,3.34 ,2009
BMED 2300,3.31 ,2010
BMED 2300,3.40 ,2011
BMED 2300,3.20 ,2012
BMED 2300,2.97 ,2013
CS 4392,3.60 ,2009
CHEM 2380,2.95 ,2008
CHEM 2380,3.07 ,2009
CHEM 2380,2.84 ,2010
CHEM 2380,2.93 ,2011
CHEM 2380,3.29 ,2012
CHEM 2380,3.56 ,2013
LCC 2400,3.61 ,2008
LCC 2400,3.21 ,2009
LCC 2400,3.27 ,2010
LCC 2400,3.52 ,2011
LCC 2400,3.39 ,2012
LCC 2400,3.50 ,2013
SPAN 3102,3.48 ,2009
SPAN 3102,3.72 ,2010
SPAN 3102,3.60 ,2012
SPAN 3102,3.78 ,2013
RUSS 1813,3.11 ,2013
CS 4240,3.05 ,2008
CS 4240,3.41 ,2009
CS 4710,3.75 ,2008
CS 4710,3.00 ,2009
CS 4710,3.91 ,2010
CS 4710,3.55 ,2011
CS 4710,4.00 ,2012
CS 4245,3.42 ,2009
CS 4245,3.26 ,2010
BIOL 4668,2.94 ,2008
BIOL 4668,2.95 ,2009
BIOL 4668,2.96 ,2010
BIOL 4668,3.50 ,2011
BIOL 4668,2.76 ,2012
BIOL 4668,2.85 ,2013
ME 1750,2.33 ,2008
ME 1750,3.00 ,2009
ECON 3110,2.71 ,2008
ECON 3110,2.89 ,2009
ECON 3110,3.22 ,2010
ECON 3110,3.46 ,2011
ECON 3110,2.84 ,2012
ECON 3110,2.82 ,2013
MUSI 3502,4.00 ,2008
MUSI 3502,4.00 ,2009
MUSI 3502,4.00 ,2010
MUSI 3502,4.00 ,2011
MUSI 3502,2.67 ,2012
MUSI 3502,4.00 ,2013
MUSI 3501,4.00 ,2008
MUSI 3501,4.00 ,2009
MUSI 3501,4.00 ,2010
MUSI 3501,4.00 ,2011
MUSI 3501,3.90 ,2012
ARCH 4831,2.88 ,2008
ARCH 4831,3.00 ,2009
ARCH 4831,3.17 ,2010
ARCH 4831,3.50 ,2011
ARCH 4831,2.33 ,2012
ARCH 4832,2.59 ,2008
ARCH 4832,3.50 ,2009
ARCH 4833,3.50 ,2011
ARCH 4833,3.88 ,2012
ARCH 4833,3.97 ,2013
MUSI 4521,4.00 ,2011
MUSI 4522,4.00 ,2012
ECE 4803,3.74 ,2008
ECE 4803,3.29 ,2009
ECE 4803,3.51 ,2010
ECE 4803,3.67 ,2011
ECE 4803,3.19 ,2012
ECE 4802,3.19 ,2008
CHEM 3380,3.26 ,2008
CHEM 3380,3.08 ,2009
CHEM 3380,3.26 ,2010
CHEM 3380,2.82 ,2011
CHEM 3380,3.59 ,2012
CHEM 3380,3.44 ,2013
ML 1823,3.44 ,2009
PSYC 3041,3.86 ,2009
PSYC 3041,3.18 ,2010
PSYC 3041,3.07 ,2011
PSYC 3041,3.08 ,2012
PSYC 3041,2.85 ,2013
PSYC 3040,2.97 ,2008
PSYC 3040,2.45 ,2009
PSYC 3040,2.74 ,2010
PSYC 3040,2.65 ,2011
PSYC 3040,2.78 ,2012
PSYC 2020,2.89 ,2008
PSYC 2020,2.89 ,2009
PSYC 2020,2.77 ,2010
PSYC 2020,3.12 ,2011
PSYC 2020,2.99 ,2012
PSYC 2020,3.03 ,2013
BMED 1300,3.36 ,2008
BMED 1300,3.39 ,2009
BMED 1300,3.38 ,2010
BMED 1300,3.37 ,2011
BMED 1300,3.43 ,2012
BMED 1300,3.52 ,2013
MUSI 3610,3.96 ,2008
MUSI 3610,3.89 ,2009
MUSI 3610,3.96 ,2010
MUSI 3610,3.59 ,2011
MATH 2605,2.60 ,2008
MATH 2605,2.56 ,2009
MATH 2605,2.19 ,2010
MATH 2605,2.47 ,2011
MATH 2605,2.60 ,2012
MATH 2605,2.70 ,2013
ECE 3903,4.00 ,2009
ECE 3903,3.50 ,2010
ECE 3903,4.00 ,2011
ECE 3903,4.00 ,2012
ECE 3903,3.83 ,2013
MATH 2602,2.68 ,2008
MATH 2602,2.78 ,2009
MATH 2602,2.71 ,2010
MATH 2602,2.85 ,2011
MATH 2602,2.97 ,2012
MATH 2602,2.76 ,2013
ECE 3901,4.00 ,2008
ECE 3901,4.00 ,2010
ECE 3901,4.00 ,2011
ECE 3901,4.00 ,2012
ECE 3901,4.00 ,2013
EAS 3603,3.14 ,2008
EAS 3603,3.09 ,2009
EAS 3603,2.97 ,2010
EAS 3603,2.86 ,2011
EAS 3603,2.61 ,2012
HTS 3028,2.98 ,2010
SPAN 3101,3.68 ,2008
SPAN 3101,3.72 ,2009
SPAN 3101,3.47 ,2010
SPAN 3101,3.60 ,2011
SPAN 3101,3.67 ,2012
SPAN 3101,3.42 ,2013
LCC 3110,3.03 ,2011
LCC 3110,3.16 ,2012
MGT 3744,3.68 ,2009
MGT 3744,3.85 ,2010
MGT 3744,3.30 ,2011
MGT 3744,3.44 ,2012
MGT 3744,3.80 ,2013
PTFE 3200,3.73 ,2008
PTFE 3200,3.58 ,2009
PTFE 3200,3.34 ,2010
PTFE 3200,3.15 ,2011
PTFE 3200,3.44 ,2012
PTFE 3200,3.52 ,2013
MGT 3743,3.88 ,2008
MGT 3743,3.54 ,2009
MGT 3743,3.79 ,2010
MGT 3743,4.00 ,2011
MGT 3743,3.88 ,2012
EAS 1600,3.22 ,2008
EAS 1600,2.93 ,2009
EAS 1600,2.92 ,2010
EAS 1600,2.92 ,2011
EAS 1600,2.95 ,2012
EAS 1600,2.96 ,2013
EAS 1601,3.03 ,2008
EAS 1601,2.93 ,2009
EAS 1601,3.07 ,2010
EAS 1601,3.16 ,2011
EAS 1601,3.06 ,2012
EAS 1601,3.16 ,2013
CEE 4410,3.29 ,2008
CEE 4410,3.57 ,2009
CEE 4410,3.20 ,2010
PHYS 3802,4.00 ,2012
CEE 3055,2.99 ,2008
CEE 3055,2.91 ,2009
CEE 3055,3.31 ,2010
CEE 3055,3.34 ,2011
CEE 3055,3.34 ,2012
CEE 3055,3.06 ,2013
ARCH 4023,3.34 ,2008
ARCH 4023,3.55 ,2009
ARCH 4023,3.37 ,2010
ARCH 4023,3.77 ,2011
ARCH 4023,3.65 ,2012
ECE 4110,3.61 ,2008
ECE 4110,3.25 ,2009
ECE 4110,2.93 ,2010
ECE 4110,2.86 ,2011
ECE 4110,3.27 ,2012
ECE 4110,3.03 ,2013
ARCH 4021,3.50 ,2008
ARCH 4021,3.31 ,2009
ARCH 4021,3.41 ,2010
ARCH 4021,3.19 ,2011
ECE 4112,3.47 ,2008
ECE 4112,3.47 ,2009
ECE 4112,3.55 ,2010
ECE 4112,3.45 ,2011
ECE 4112,3.39 ,2012
LCC 3208,3.29 ,2010
LCC 3204,3.89 ,2008
LCC 3204,3.91 ,2009
LCC 3204,3.83 ,2010
LCC 3204,3.80 ,2011
LCC 3204,4.00 ,2012
LCC 3204,4.00 ,2013
LCC 3206,3.87 ,2008
LCC 3206,3.44 ,2009
LCC 3206,3.45 ,2010
LCC 3206,3.65 ,2011
LCC 3206,3.41 ,2012
LCC 3206,3.66 ,2013
SPAN 4101,3.63 ,2009
SPAN 4101,3.79 ,2010
LCC 3202,3.03 ,2008
LCC 3202,2.91 ,2009
LCC 3202,3.41 ,2010
LCC 3202,3.44 ,2013
ME 3141,3.50 ,2009
ME 3141,3.63 ,2010
ME 3141,3.45 ,2012
ME 3141,3.67 ,2013
ECON 4910,3.41 ,2008
ECON 4910,3.75 ,2009
ECON 4910,3.60 ,2010
ECON 4910,3.75 ,2011
ECON 4910,3.82 ,2012
ECON 4910,3.70 ,2013
PUBP 3120,3.00 ,2009
PUBP 3120,3.18 ,2010
PUBP 3120,3.10 ,2011
PUBP 3120,3.39 ,2012
ECON 4311,3.58 ,2008
ECON 4311,2.90 ,2009
ECON 4311,3.50 ,2010
ECON 4311,3.25 ,2012
JAPN 4123,3.40 ,2008
JAPN 4123,3.33 ,2010
JAPN 4123,3.90 ,2012
CEE 4330,3.05 ,2008
CEE 4330,3.05 ,2009
CEE 4330,3.15 ,2010
CEE 4330,3.35 ,2011
CEE 4330,3.14 ,2012
MUSI 1112,4.00 ,2008
MUSI 1112,4.00 ,2009
MUSI 1112,4.00 ,2010
MUSI 1112,4.00 ,2011
MUSI 1112,4.00 ,2012
MUSI 1113,4.00 ,2008
MUSI 1113,4.00 ,2009
MUSI 1113,4.00 ,2010
MUSI 1113,4.00 ,2011
MUSI 1113,4.00 ,2012
MUSI 1113,4.00 ,2013
ISYE 2699,4.00 ,2009
ISYE 2699,3.50 ,2010
ISYE 2699,3.80 ,2011
ISYE 2699,3.75 ,2012
ISYE 2699,4.00 ,2013
RUSS 1001,3.57 ,2008
RUSS 1001,3.74 ,2009
RUSS 1001,3.22 ,2010
RUSS 1001,3.64 ,2011
RUSS 1001,3.81 ,2012
RUSS 1001,3.63 ,2013
